product_id;price;retail_price;units_sold;uses_ad_boosts;rating;rating_count;badges_count;badge_local_product;badge_product_quality;badge_fast_shipping;tags;product_color;product_variation_size_id;product_variation_inventory;shipping_option_price;shipping_is_express;countries_shipped_to;inventory_total;has_urgency_banner;origin_country;merchant_title;merchant_info_subtitle;merchant_rating_count;merchant_rating;merchant_has_profile_picture
47;16;14;10;0;3;3;0;0;0;0;Summer/Shorts/womens jogging suits/Sleeve/shortsleeveset/Short pants/summersuitset/short sleeves/Sport/summerpant/mensjoggingsuit/Suits/Sport Suits/short sleeve shirt/Outfits/mens suits/Casual;green;S.;2;4;0;34;50;;CN;qiaopiaduxiu;81 % avis positifs (31 notes);31;35.483.870.967.741.900;0
48;13;50;1000;0;4.03;855;0;0;0;0;bohemia/sleeveless/printeddre/Rose/long dress/Vintage/Dress/Womens Fashion/Beach/boho/Shorts/midcalfdre/vestido/jumpsuit/maxi dress/printed/Vintage dress/Fashion/Women;red & blue;S;50;3;0;32;50;;CN;Knights;87 % avis positifs (9,136 notes);9136;4.085.704.903.677.750;1
49;9;8;10000;0;3.18;1783;0;0;0;0;Summer/Plus Size/Floral print/Lace/Sleeve/Long Sleeve/Dress/Loose/V-neck/Floral/Womens Fashion/Fashion/Floral dress/summer dress/Print/Casual/Necks;white;S;50;3;0;24;50;1;CN;fengjinying;(10,474 notes);10474;3.908.535.421.042.580;0
50;7;6;100;0;3.8;61;0;0;0;0;Summer/Plus Size/Love/Graphic T-Shirt/Funny/summer t-shirts/short sleeves/T Shirts/Funny T Shirt/Womens Fashion/Fashion/Women;black;S;50;2;0;45;50;1;CN;enjoy the sunshine;(139,607 notes);139607;4.216.385.997.836.780;0
51;11;20;100;0;3.43;14;0;0;0;0;Summer/Vest/Plus Size/Tank/Necks/Tops/Loose/Womens Fashion/tank top/T Shirts/Fashion/V-neck/solid color/sleeveless/women top/Casual/Women;white;S;50;2;0;34;50;1;CN;chentengying;89 % avis positifs (3,120 notes);3120;4.174.679.487.179.480;0
52;5.84;11;1000;0;4.19;307;0;0;0;0;Summer/sexy bathing suit/Bikinis Set/splitbikiniset/Swimwear/Swimsuit/Bikini/Fashion/Two Pieces/printed/Womens Fashion/Women/Beach/splits;blue;XXS;1;1;0;40;50;;CN;Get Trendy;88 % avis positifs (10,377 notes);10377;4.172.785.968.969.830;0
53;1;11;1000;1;3.8;5;0;0;0;0;Summer/Vest/Fashion/slim/gothicshirt/tank top/punkshirt/T Shirts/Plus Size/gothic/skullshirt/Goth/summer tops/Cotton/Tank/Shirt/skull/graphic tee/Tops/Slim Fit/Womens Fashion/Tops & T-Shirts/Print/sleeveless;blue;XXS;37;1;0;41;50;;CN;Flora boutique;81 % avis positifs (8,197 notes);8197;38.581.188.239.599.800;0
54;11;60;1000;1;3.38;37;0;0;0;0;Summer/Plus Size/Necks/long dress/Dress/summer dress/V-neck/Womens Fashion/printed/wavepoint/Women/Loose/Casual/casual dress;white;s;49;2;0;25;50;1;CN;chengyongbo64;85 % avis positifs (703 notes);703;39.601.706.970.128.000;0
55;9;8;5000;1;4.03;889;0;0;0;0;Summer/Spaghetti Strap/short dress/Mini/Shorts/Dress/summer dress/Party Dress/Floral dress/Mini dress/Womens Fashion/Sleeveless dress/backless/Plus Size/sleeveless/Floral/party/Spaghetti/Casual/casual dress;blue & pink;L;50;3;0;33;50;;CN;WOW BANG;87% retroalimentaciÃ_n positiva (16,013 calificaciones);16013;4.108.849.060.138.630;0
57;1;10;100;0;3.56;52;0;0;0;0;Summer/Fashion/Necks/Beach/Dress/Loose/beach dress/Round neck/Womens Fashion/sleeveless/Skirts/Casual/Women;white;XXS;2;1;0;40;50;1;;Maryswill;(13,309 notes);91631;383.793.694.273.772;1
58;9;8;5000;0;4.06;743;0;0;0;0;Summer/Plus Size/ruffle/ruffled/chiffon/Tank/Pure Color/Cami/tank top/Womens Fashion/Fashion/V-neck/blousesampshirt/sexy/Tops/Women;orange;S;50;3;0;41;50;1;CN;Fashion Trend Line;81 % avis positifs (91,631 notes);20681;39.993.714.037.038.800;1
59;6;6;100;0;4;8;0;0;0;0;Summer/Sling/Dresses/Dress/V-neck/Casual/Pocket/Womens Fashion/Sleeveless dress/women dress/Floral/sleeveless/Women/loose dress/Pleated/casual dress;white & green;XS;5;2;0;23;50;;CN;zhuangyuping1;85 % avis positifs (20,681 notes);127;3.874.015.748.031.490;0
60;11;68;1000;0;4.13;211;0;0;0;0;Summer/Plus Size/women39sfashion/Necks/Tunic dress/summer dress/Womens Fashion/Floral print/Casual/Crewneck/dressesforwomen/Graffiti/printeddre/sleeveless/Robes/Women/Dress/printed;red;M;50;2;0;40;50;;CN;LeadTheFashion;79 % avis positifs (127 notes);11597;42.152.280.762.266.100;0
61;7;6;50;0;4;4;0;0;0;0;Summer/Fashion/Elastic/pants/slim/Short pants/Womens Fashion/Running/Shorts/Sport/Casual/Slim Fit;blue;XS;50;2;0;139;50;1;CN;caishuiwang;90 % avis positifs (11,597 notes);34;4.352.941.176.470.580;0
62;5;38;50;1;5;2;0;0;0;0;Summer/Fashion/pants/widelegpant/Womens Fashion/trousers/solid color/Wool/Casual/Women;khaki;XS;17;1;0;33;50;;CN;zufanqiudinli;94 % avis positifs (34 notes);9;36.666.666.666.666.600;0
63;27.199.999.999.999.900;3;100;1;3.1;20;0;0;0;0;Summer/Plus Size/Lace/Casual pants/Bottom/pants/Loose/Womens Fashion/Shorts/Lace Up/Elastic/Casual/Women;yellow;S;1;1;0;35;50;;CN;youngpeopleshop;88 % avis positifs (9 notes);14482;4.001.588.178.428.390;0
64;5.87;11;1000;1;3.91;209;0;0;0;0;Summer/Fashion/night dress/Dress/Classics/short sleeves/Cotton Dress/Womens Fashion/european/Ladies/American/Large Size/Clothing/Pajamas/Cotton;white;S;6;1;0;29;50;1;CN;happy feng;85 % avis positifs (14,482 notes);6187;4.391.304.347.826.080;0
65;11;10;5000;0;3.72;1008;0;0;0;0;Summer/Shorts/Rompers/Casual/Ladies/Womens Fashion/Fashion/off shoulder/sexy/Floral/sleeveless/Women/Beach/playsuit/jumpsuit;white;M;50;2;0;25;50;;CN;besagift;(6,187 notes);61895;4.268.002.261.895.140;1
66;8;10;100;0;2.71;7;0;0;0;0;Summer/V Collar/Plus Size/Stitching/Sleeve/Dresses/Dress/summer dress/long dress/short sleeves/Casual/ladies dress/Womens Fashion/Shorts/Women/Ladies/women dress/Short Sleeved/Cotton/Collar/casual dress;red;XS;4;3;0;20;50;;CN;lianlie;(61,895 notes);224;3.892.857.142.857.140;0
67;14;67;1000;0;3.81;187;0;0;0;0;Summer/Plus Size/Cotton/summershirtsformen/Chinese/loose shirt/cottonlinenshirt/Tops/buttonup/short sleeves/men shirt/Mens Fashion/Fashion/Men/solid color/Shirt/camisamen/Clothing/basictshirt/beachshirt;blue;M;50;4;0;40;50;;CN;saya2016;84 % avis positifs (224 notes);11900;4.150.756.302.521.000;1
68;2;9;100;0;3.47;32;0;0;0;0;Summer/Fashion/Necks/Skirts/Dress/Loose/Womens Fashion/Round neck/beach dress/sleeveless/Beach/Casual/Women;white;XXS;1;1;0;40;50;;CN;zaitaowanggou;88 % avis positifs (11,900 notes);4856;4.167.627.677.100.490;0
69;8;7;10000;1;3.93;1670;0;0;0;0;Summer/soildcolor/Plus Size/Tank/camisole/Tops/Loose/tank top/Womens Fashion/Fashion/sleeveless tops/sleeveless/Women/Lace/Casual/summerampspring;yellow;M;50;3;0;30;50;;CN;keepahorse;88 % avis positifs (4,856 notes);66644;4.137.581.777.804.450;1
70;5.79;30;1000;1;3.41;212;0;0;0;0;blouse/Plus Size/Summer/Dress/short sleeves/V-neck/beach dress/Fashion/Casual/Deep V-Neck/Shorts/Tops & Blouses/Sleeve/summer dress/Womens Fashion/Swimsuit/Party Dress/Ladies/party/linen dress/Beach/loose dress/Swimming;white;XS;50;2;0;118;50;;CN;taomi  gogo;88 % avis positifs (66,644 notes);21012;4.189.843.898.724.530;1
71;8;22;100;1;3.74;47;0;0;0;0;Deep V-Neck/Summer/Plus Size/Tank/Shirt/rodeotank/Tops/Sleeveless Shirt/tank top/Womens Fashion/women shirt/V-neck/sleeveless/Design/T Shirts/Women/countrymusicshirt/Casual/countrythunder/printed;winered;S;50;3;0;41;50;;CN;Aidos;(21,012 notes);50593;38.767.616.073.369.800;0
72;49.399.999.999.999.900;5;10000;1;3.93;1331;0;0;0;0;Summer/dress slim/Fashion/neck dress/Necks/Dress/slim/Round neck/Womens Fashion/Sleeveless dress/Flowers/Floral/sleeveless/printed/Casual/Women;black & green;M;6;1;0;49;50;;CN;Smart Home International Co.Ltd;82 % avis positifs (50,593 notes);55670;41.214.837.434.884.100;1
73;8;7;10000;0;3.82;2520;0;0;0;0;Summer/Fashion/tunic/Ladies Fashion/asymmetric/Tops/tank top/Womens Fashion/Music/Ladies/Tank/Printed T Shirts/Women;orange;M;50;3;0;14;50;1;CN;WDHDAGE;88 % avis positifs (55,670 notes);8821;38.720.099.761.931.700;0
74;11;10;100;1;3.46;50;0;0;0;0;Summer/trousers/Casual pants/pants/Bottom/fashion pants/chiffonpant/Long pants/widelegpant/harem pants/summerpant/Plus Size/printed/Womens Fashion/Casual/Women;black;S;50;3;0;41;50;;CN;charming_family;82 % avis positifs (8,821 notes);225438;4.301.120.485.454.980;0
75;8;33;10;0;5;0;0;0;0;0;Vest/Fashion/Lace/V-neck/Womens Fashion/lacebra/sexy/silk/Casual/Women/Tank/Necks/casualsuspendertop/lace top/Tops/lace vest/slingtop/black/sleeveless;black;S;50;2;0;25;50;;CN;WSLCWM;91 % avis positifs (225,438 notes);1496;4.169.786.096.256.680;0
76;9;33;50;1;4.5;4;0;0;0;0;blouse/Summer/Plus Size/Shirt/Heart/womens shirt/print shirt/Tops/short sleeves/Round neck/Funny/Womens Fashion/cute/Women/Casual/Necks;white;S;50;3;0;41;50;;CN;Seraih;88 % avis positifs (1,496 notes);8397;4.120.281.052.756.930;0
77;7;6;100;0;4.26;53;0;0;0;0;Summer/Shorts/Women/shortromper/Spaghetti/onepiece/Spaghetti Strap/One-Piece Suits/shortjumpsuit/Womens Fashion/Fashion/Casual/summerjumpsuit/sleeveless/Rompers/women Jumpsuit/playsuit/jumpsuit;armygreen;S;50;2;0;31;50;1;CN;chooop;87 % avis positifs (8,397 notes);2055;3.837.956.204.379.560;1
78;11;10;10000;0;4.24;1045;0;0;0;0;bandage top/Fashion/crop top/Halter/Summer/Women Set/elasticwaistshort/Womens Fashion/elastic waist/Casual/Women/Shorts/Waist/Elastic/Tops/pants/shortssuit/backless/Suits/Print/sleeveless/twopiecesset;purple;S;50;3;0;36;50;;CN;luojiayushop;81 % avis positifs (2,055 notes);9200;4.289.673.913.043.470;0
79;8;92;100;0;3.56;16;0;0;0;0;Summer/Plus Size/letter print/print shirt/summer t-shirts/short sleeves/Womens Fashion/Fashion/slimtop/slim/Women Fashion/Necks/rainbow/Shorts/Cotton Shirt/Shirt/Sleeve/graphic tee/Tops/Slim Fit/Round neck/women shirt/Tops & T-Shirts/Print/Cotton;yellow;S;50;2;0;55;50;;CN;wangjiangxu;91 % avis positifs (9,200 notes);7076;39.680.610.514.414.900;0
80;5.83;5;10000;1;4.22;2055;0;0;0;0;Summer/sexy bathing suit/Bikinis Set/Swimwear/Swimsuit/Bikini/splitbikiniset/Fashion/Two Pieces/printed/Womens Fashion/Beach/splits;whitefloral;S;1;1;0;35;50;;CN;hellohorse;84 % avis positifs (7,076 notes);126370;414.695.734.747.171;1
